Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
2009-06-01,8061084931.506849,102.82468273972604,66.6,1668448895.6164384,7.793150684931507,,2009,6,,0,771289.5802545649,7699.5250914854
2009-07-01,8077194520.547945,102.4286991780822,68.52,1608473709.3150685,7.752054794520548,,2009,7,,0,1353359.5073102603,9636.908315741028
2009-08-01,8093841095.890411,102.01951616438356,68.65,1546499350.1369865,7.70958904109589,,2009,8,,0,980725.8416510306,9004.483718864582
2009-09-01,8110487671.232877,101.61033315068494,68.78,1484524990.9589045,7.667123287671233,,2009,9,,0,576097.9934667205,8604.416537200384
2009-10-01,8126597260.273972,101.21434958904108,67.12,1424549804.657534,7.626027397260274,,2009,10,,0,702865.8157439929,5889.407271378617
2009-11-01,8143243835.616438,100.80516657534248,72.99475409836066,1362575445.479452,7.583561643835616,,2009,11,,0,578304.4372230247,4818.392035484552
2009-12-01,8159353424.657535,100.40918301369862,78.68,1302600259.1780822,7.542465753424658,,2009,12,,0,719360.0273726472,4450.652289460286
2010-01-01,8176000000.0,100.0,75.13,1240625900.0,7.5,,2010,1,,0,649792.6313809875,3251.579215321459
2010-02-01,8254561643.835616,99.78772049315069,71.58,1349400763.8356164,7.38958904109589,,2010,2,,0,756339.6142354875,3592.4510690126676
2010-03-01,8325520547.945206,99.59598416438357,76.07,1447649027.9452057,7.28986301369863,,2010,3,,0,699522.6683319214,5315.641541532877
2010-04-01,8404082191.780822,99.38370465753424,82.63,1556423891.7808218,7.17945205479452,,2010,4,,0,791201.022558764,5146.759203310363
2010-05-01,8480109589.041096,99.17827287671231,77.93327868852458,1661689889.041096,7.072602739726028,,2010,5,,0,737289.0286775201,4783.581617573613
2010-06-01,8558671232.876713,98.965993369863,73.08,1770464752.8767123,6.962191780821918,,2010,6,,0,794403.2434889107,5270.40698120224
2010-07-01,8634698630.136986,98.76056158904107,71.73,1875730750.1369865,6.8553424657534245,,2010,7,,0,1395806.9494193809,5717.061492003296
2010-08-01,8713260273.972603,98.54828208219178,73.63,1984505613.9726028,6.744931506849316,,2010,8,,0,1033305.2675363752,6932.975522451998
2010-09-01,8791821917.80822,98.33600257534246,75.53,2093280477.8082192,6.634520547945206,,2010,9,,0,662800.1373583102,4050.201083742542
2010-10-01,8867849315.068493,98.13057079452057,82.69,2198546475.068493,6.527671232876712,,2010,10,,0,821043.5299834125,4159.777994458542
2010-11-01,8946410958.90411,97.91829128767124,84.06,2307321338.904109,6.417260273972603,,2010,11,,0,597083.6495313525,3692.224074501292
2010-12-01,9022438356.164385,97.71285950684933,88.56,2412587336.164384,6.31041095890411,,2010,12,,0,795873.9504399147,3324.7815840223325
2011-01-01,9101000000.0,97.50058,94.48,2521362200.0,6.2,,2011,1,,0,601478.6641716197,3953.4230639720417
2011-02-01,9049191780.821918,97.32067978082192,100.4,2548590570.1369863,6.166027397260274,,2011,2,,0,726403.8019386423,2967.298030194835
2011-03-01,9002397260.273973,97.15818926027396,113.34,2573183936.712329,6.135342465753425,,2011,3,,0,664136.0165972257,4927.316705191998
2011-04-01,8950589041.09589,96.97828904109588,118.63,2600412306.849315,6.101369863013699,,2011,4,,0,754105.3888544209,5435.048089375025
2011-05-01,8900452054.794521,96.80419205479453,117.41032786885246,2626762342.4657536,6.068493150684931,,2011,5,,0,814783.3235075882,5332.992979329494
2011-06-01,8848643835.616438,96.62429183561645,116.15,2653990712.60274,6.034520547945205,,2011,6,,0,859540.0919485018,5060.975704996143
2011-07-01,8798506849.31507,96.45019484931508,109.82,2680340748.219178,6.001643835616439,,2011,7,,0,1410761.025131195,7292.916516210639
2011-08-01,8746698630.136986,96.270294630137,116.37,2707569118.3561645,5.967671232876713,,2011,8,,0,997431.5523803968,6168.002098749201
2011-09-01,8694890410.958904,96.09039441095892,116.43,2734797488.4931507,5.933698630136986,,2011,9,,0,700900.6155250848,5020.909197239469
2011-10-01,8644753424.657534,95.91629742465754,111.77754098360656,2761147524.109589,5.900821917808219,,2011,10,,0,709479.1826709376,4851.463359497858
2011-11-01,8592945205.479452,95.73639720547943,106.97,2788375894.246576,5.866849315068493,,2011,11,,0,605361.5772782189,3575.6849308313326
2011-12-01,8542808219.178082,95.56230021917808,108.83,2814725929.8630137,5.833972602739726,,2011,12,,0,738859.0731182226,3538.207754581041
2012-01-01,8491000000.0,95.3824,110.395,2841954300.0,5.8,,2012,1,,0,606230.7615531308,4393.2316563827335
